update_date,division,role,type,count_dancer
2025-04-20,Novice,Follower,required,8736
2025-04-20,Novice,Leader,allowed,5704
2025-04-20,Novice,Leader,required,6440
2025-04-23,Advanced,Follower,allowed,1539
2025-04-23,Advanced,Follower,required,1349
2025-04-23,Advanced,Leader,allowed,1343
2025-04-23,Advanced,Leader,required,1175
2025-04-23,All-Star,Follower,allowed,473
2025-04-23,All-Star,Follower,required,520
2025-04-23,All-Star,Leader,allowed,434
2025-04-23,All-Star,Leader,required,491
2025-04-23,Champion,Follower,allowed,183
2025-04-23,Champion,Follower,required,87
2025-04-23,Champion,Leader,allowed,182
2025-04-23,Champion,Leader,required,82
2025-04-23,Intermediate,Follower,allowed,2979
2025-04-23,Intermediate,Follower,required,2260
2025-04-23,Intermediate,Leader,allowed,2337
2025-04-23,Intermediate,Leader,required,1802
2025-04-23,Newcomer,Follower,required,1407
2025-04-23,Novice,Follower,allowed,9213
2025-04-23,Novice,Follower,required,8764
2025-04-23,Novice,Leader,allowed,5718
2025-04-23,Novice,Leader,required,6464
2025-04-30,Advanced,Follower,allowed,1542
2025-04-30,Advanced,Follower,required,1352
2025-04-30,Advanced,Leader,allowed,1346
2025-04-30,Advanced,Leader,required,1178
2025-04-30,All-Star,Follower,allowed,473
2025-04-30,All-Star,Follower,required,520
2025-04-30,All-Star,Leader,allowed,435
2025-04-30,All-Star,Leader,required,494
2025-04-30,Champion,Follower,allowed,183
2025-04-30,Champion,Follower,required,87
2025-04-30,Champion,Leader,allowed,182
2025-04-30,Champion,Leader,required,82
2025-04-30,Intermediate,Follower,allowed,2986
2025-04-30,Intermediate,Follower,required,2264
2025-04-30,Intermediate,Leader,allowed,2343
2025-04-30,Intermediate,Leader,required,1806
2025-04-30,Newcomer,Follower,required,1409
2025-04-30,Novice,Follower,allowed,9243
2025-04-30,Novice,Follower,required,8795
2025-04-30,Novice,Leader,allowed,5733
2025-04-30,Novice,Leader,required,6479
2025-05-08,Advanced,Follower,allowed,1547
2025-05-08,Advanced,Follower,required,1352
2025-05-08,Advanced,Leader,allowed,1345
2025-05-08,Advanced,Leader,required,1175
2025-05-08,All-Star,Follower,allowed,473
2025-05-08,All-Star,Follower,required,521
2025-05-08,All-Star,Leader,allowed,438
2025-05-08,All-Star,Leader,required,494
2025-05-08,Champion,Follower,allowed,183
2025-05-08,Champion,Follower,required,87
2025-05-08,Champion,Leader,allowed,182
2025-05-08,Champion,Leader,required,83
2025-05-08,Intermediate,Follower,allowed,2987
2025-05-08,Intermediate,Follower,required,2268
2025-05-08,Intermediate,Leader,allowed,2349
2025-05-08,Intermediate,Leader,required,1808
2025-05-08,Newcomer,Follower,required,1407
2025-05-08,Novice,Follower,allowed,9261
2025-05-08,Novice,Follower,required,8816
2025-05-08,Novice,Leader,allowed,5744
2025-05-08,Novice,Leader,required,6498
2025-05-16,Advanced,Follower,allowed,1553
2025-05-16,Advanced,Follower,required,1353
2025-05-16,Advanced,Leader,allowed,1350
2025-05-16,Advanced,Leader,required,1180
2025-05-16,All-Star,Follower,allowed,473
2025-05-16,All-Star,Follower,required,521
2025-05-16,All-Star,Leader,allowed,438
2025-05-16,All-Star,Leader,required,494
2025-05-16,Champion,Follower,allowed,183
2025-05-16,Champion,Follower,required,87
2025-05-16,Champion,Leader,allowed,182
2025-05-16,Champion,Leader,required,83
2025-05-16,Intermediate,Follower,allowed,2992
2025-05-16,Intermediate,Follower,required,2274
2025-05-16,Intermediate,Leader,allowed,2356
2025-05-16,Intermediate,Leader,required,1815
2025-05-16,Newcomer,Follower,required,1409
2025-05-16,Novice,Follower,allowed,9283
2025-05-16,Novice,Follower,required,8840
2025-05-16,Novice,Leader,allowed,5751
2025-05-16,Novice,Leader,required,6505
2025-05-17,Advanced,Follower,allowed,1553
2025-05-17,Advanced,Follower,required,1353
2025-05-17,Advanced,Leader,allowed,1350
2025-05-17,Advanced,Leader,required,1180
2025-05-17,All-Star,Follower,allowed,473
2025-05-17,All-Star,Follower,required,521
2025-05-17,All-Star,Leader,allowed,438
2025-05-17,All-Star,Leader,required,494
2025-05-17,Champion,Follower,allowed,183
2025-05-17,Champion,Follower,required,87
2025-05-17,Champion,Leader,allowed,182
2025-05-17,Champion,Leader,required,83
2025-05-17,Intermediate,Follower,allowed,2992
2025-05-17,Intermediate,Follower,required,2274
2025-05-17,Intermediate,Leader,allowed,2356
2025-05-17,Intermediate,Leader,required,1815
2025-05-17,Newcomer,Follower,required,1409
2025-05-17,Novice,Follower,allowed,9283
2025-05-17,Novice,Follower,required,8840
2025-05-17,Novice,Leader,allowed,5751
2025-05-17,Novice,Leader,required,6505
2025-05-24,Advanced,Follower,allowed,1553
2025-05-24,Advanced,Follower,required,1356
2025-05-24,Advanced,Leader,allowed,1349
2025-05-24,Advanced,Leader,required,1180
2025-05-24,All-Star,Follower,allowed,475
2025-05-24,All-Star,Follower,required,521
2025-05-24,All-Star,Leader,allowed,440
2025-05-24,All-Star,Leader,required,495
2025-05-24,Champion,Follower,allowed,183
2025-05-24,Champion,Follower,required,87
2025-05-24,Champion,Leader,allowed,182
2025-05-24,Champion,Leader,required,83
2025-05-24,Intermediate,Follower,allowed,2995
2025-05-24,Intermediate,Follower,required,2278
2025-05-24,Intermediate,Leader,allowed,2361
2025-05-24,Intermediate,Leader,required,1821
2025-05-24,Newcomer,Follower,required,1410
2025-05-24,Novice,Follower,allowed,9317
2025-05-24,Novice,Follower,required,8871
2025-05-24,Novice,Leader,allowed,5768
2025-05-24,Novice,Leader,required,6521
2025-05-30,Advanced,Follower,allowed,1554
2025-05-30,Advanced,Follower,required,1356
2025-05-30,Advanced,Leader,allowed,1351
2025-05-30,Advanced,Leader,required,1180
2025-05-30,All-Star,Follower,allowed,475
2025-05-30,All-Star,Follower,required,522
2025-05-30,All-Star,Leader,allowed,439
2025-05-30,All-Star,Leader,required,496
2025-05-30,Champion,Follower,allowed,183
2025-05-30,Champion,Follower,required,87
2025-05-30,Champion,Leader,allowed,183
2025-05-30,Champion,Leader,required,83
2025-05-30,Intermediate,Follower,allowed,3001
2025-05-30,Intermediate,Follower,required,2284
2025-05-30,Intermediate,Leader,allowed,2362
2025-05-30,Intermediate,Leader,required,1823
2025-05-30,Newcomer,Follower,required,1412
2025-05-30,Novice,Follower,allowed,9337
2025-05-30,Novice,Follower,required,8889
2025-05-30,Novice,Leader,allowed,5776
2025-05-30,Novice,Leader,required,6529
2025-06-04,Advanced,Follower,allowed,1553
2025-06-04,Advanced,Follower,required,1357
2025-06-04,Advanced,Leader,allowed,1354
2025-06-04,Advanced,Leader,required,1181
2025-06-04,All-Star,Follower,allowed,478
2025-06-04,All-Star,Follower,required,522
2025-06-04,All-Star,Leader,allowed,441
2025-06-04,All-Star,Leader,required,498
2025-06-04,Champion,Follower,allowed,183
2025-06-04,Champion,Follower,required,87
2025-06-04,Champion,Leader,allowed,183
2025-06-04,Champion,Leader,required,83
2025-06-04,Intermediate,Follower,allowed,3008
2025-06-04,Intermediate,Follower,required,2290
2025-06-04,Intermediate,Leader,allowed,2368
2025-06-04,Intermediate,Leader,required,1821
2025-06-04,Newcomer,Follower,required,1414
2025-06-04,Novice,Follower,allowed,9368
2025-06-04,Novice,Follower,required,8920
2025-06-04,Novice,Leader,allowed,5788
2025-06-04,Novice,Leader,required,6551
2025-06-12,Advanced,Follower,allowed,1560
2025-06-12,Advanced,Follower,required,1361
2025-06-12,Advanced,Leader,allowed,1357
2025-06-12,Advanced,Leader,required,1181
2025-06-12,All-Star,Follower,allowed,479
2025-06-12,All-Star,Follower,required,522
2025-06-12,All-Star,Leader,allowed,442
2025-06-12,All-Star,Leader,required,499
2025-06-12,Champion,Follower,allowed,183
2025-06-12,Champion,Follower,required,87
2025-06-12,Champion,Leader,allowed,183
2025-06-12,Champion,Leader,required,83
2025-06-12,Intermediate,Follower,allowed,3003
2025-06-12,Intermediate,Follower,required,2292
2025-06-12,Intermediate,Leader,allowed,2371
2025-06-12,Intermediate,Leader,required,1825
2025-06-12,Newcomer,Follower,required,1413
2025-06-12,Novice,Follower,allowed,9389
2025-06-12,Novice,Follower,required,8939
2025-06-12,Novice,Leader,allowed,5794
2025-06-12,Novice,Leader,required,6559
2025-06-20,Advanced,Follower,allowed,1560
2025-06-20,Advanced,Follower,required,1362
2025-06-20,Advanced,Leader,allowed,1357
2025-06-20,Advanced,Leader,required,1182
2025-06-20,All-Star,Follower,allowed,479
2025-06-20,All-Star,Follower,required,522
2025-06-20,All-Star,Leader,allowed,442
2025-06-20,All-Star,Leader,required,500
2025-06-20,Champion,Follower,allowed,183
2025-06-20,Champion,Follower,required,87
2025-06-20,Champion,Leader,allowed,183
2025-06-20,Champion,Leader,required,83
2025-06-20,Intermediate,Follower,allowed,3005
2025-06-20,Intermediate,Follower,required,2296
2025-06-20,Intermediate,Leader,allowed,2373
2025-06-20,Intermediate,Leader,required,1824
2025-06-20,Newcomer,Follower,required,1414
2025-06-20,Novice,Follower,allowed,9399
2025-06-20,Novice,Follower,required,8945
2025-06-20,Novice,Leader,allowed,5803
2025-06-20,Novice,Leader,required,6569
2025-06-27,Advanced,Follower,allowed,1562
2025-06-27,Advanced,Follower,required,1364
2025-06-27,Advanced,Leader,allowed,1358
2025-06-27,Advanced,Leader,required,1181
2025-06-27,All-Star,Follower,allowed,479
2025-06-27,All-Star,Follower,required,523
2025-06-27,All-Star,Leader,allowed,442
2025-06-27,All-Star,Leader,required,502
2025-06-27,Champion,Follower,allowed,183
2025-06-27,Champion,Follower,required,87
2025-06-27,Champion,Leader,allowed,183
2025-06-27,Champion,Leader,required,83
2025-06-27,Intermediate,Follower,allowed,3012
2025-06-27,Intermediate,Follower,required,2297
2025-06-27,Intermediate,Leader,allowed,2376
2025-06-27,Intermediate,Leader,required,1827
2025-06-27,Newcomer,Follower,required,1414
2025-06-27,Novice,Follower,allowed,9398
2025-06-27,Novice,Follower,required,8949
2025-06-27,Novice,Leader,allowed,5812
2025-06-27,Novice,Leader,required,6578
2025-07-05,Advanced,Follower,allowed,1565
2025-07-05,Advanced,Follower,required,1369
2025-07-05,Advanced,Leader,allowed,1360
2025-07-05,Advanced,Leader,required,1184
2025-07-05,All-Star,Follower,allowed,482
2025-07-05,All-Star,Follower,required,524
2025-07-05,All-Star,Leader,allowed,443
2025-07-05,All-Star,Leader,required,503
2025-07-05,Champion,Follower,allowed,183
2025-07-05,Champion,Follower,required,87
2025-07-05,Champion,Leader,allowed,183
2025-07-05,Champion,Leader,required,83
2025-07-05,Intermediate,Follower,allowed,3017
2025-07-05,Intermediate,Follower,required,2300
2025-07-05,Intermediate,Leader,allowed,2383
2025-07-05,Intermediate,Leader,required,1831
2025-07-05,Newcomer,Follower,required,1415
2025-07-05,Novice,Follower,allowed,9434
2025-07-05,Novice,Follower,required,8986
2025-07-05,Novice,Leader,allowed,5833
2025-07-05,Novice,Leader,required,6601
2025-07-07,Advanced,Follower,allowed,1566
2025-07-07,Advanced,Follower,required,1368
2025-07-07,Advanced,Leader,allowed,1362
2025-07-07,Advanced,Leader,required,1184
2025-07-07,All-Star,Follower,allowed,482
2025-07-07,All-Star,Follower,required,525
2025-07-07,All-Star,Leader,allowed,443
2025-07-07,All-Star,Leader,required,503
2025-07-07,Champion,Follower,allowed,183
2025-07-07,Champion,Follower,required,87
2025-07-07,Champion,Leader,allowed,183
2025-07-07,Champion,Leader,required,83
2025-07-07,Intermediate,Follower,allowed,3022
2025-07-07,Intermediate,Follower,required,2304
2025-07-07,Intermediate,Leader,allowed,2381
2025-07-07,Intermediate,Leader,required,1834
2025-07-07,Newcomer,Follower,required,1415
2025-07-07,Novice,Follower,allowed,9439
2025-07-07,Novice,Follower,required,8993
2025-07-07,Novice,Leader,allowed,5840
2025-07-07,Novice,Leader,required,6605
2025-07-09,Advanced,Follower,allowed,1571
2025-07-09,Advanced,Follower,required,1370
2025-07-09,Advanced,Leader,allowed,1364
2025-07-09,Advanced,Leader,required,1188
2025-07-09,All-Star,Follower,allowed,480
2025-07-09,All-Star,Follower,required,525
2025-07-09,All-Star,Leader,allowed,444
2025-07-09,All-Star,Leader,required,503
2025-07-09,Champion,Follower,allowed,185
2025-07-09,Champion,Follower,required,88
2025-07-09,Champion,Leader,allowed,183
2025-07-09,Champion,Leader,required,83
2025-07-09,Intermediate,Follower,allowed,3034
2025-07-09,Intermediate,Follower,required,2309
2025-07-09,Intermediate,Leader,allowed,2384
2025-07-09,Intermediate,Leader,required,1837
2025-07-09,Newcomer,Follower,required,1417
2025-07-09,Novice,Follower,allowed,9453
2025-07-09,Novice,Follower,required,9014
2025-07-09,Novice,Leader,allowed,5854
2025-07-09,Novice,Leader,required,6618
2025-07-17,Advanced,Follower,allowed,1362
2025-07-17,Advanced,Follower,required,1216
2025-07-17,Advanced,Leader,allowed,1175
2025-07-17,Advanced,Leader,required,1054
2025-07-17,All-Star,Follower,allowed,440
2025-07-17,All-Star,Follower,required,499
2025-07-17,All-Star,Leader,allowed,406
2025-07-17,All-Star,Leader,required,468
2025-07-17,Champion,Follower,allowed,184
2025-07-17,Champion,Follower,required,88
2025-07-17,Champion,Leader,allowed,181
2025-07-17,Champion,Leader,required,83
2025-07-17,Intermediate,Follower,allowed,2222
2025-07-17,Intermediate,Follower,required,1812
2025-07-17,Intermediate,Leader,allowed,1800
2025-07-17,Intermediate,Leader,required,1462
2025-07-17,Newcomer,Follower,required,1286
2025-07-17,Novice,Follower,allowed,5725
2025-07-17,Novice,Follower,required,5032
2025-07-17,Novice,Leader,allowed,3438
2025-07-17,Novice,Leader,required,3933
2025-07-18,Advanced,Follower,allowed,1564
2025-07-18,Advanced,Follower,allowed,1576
2025-07-18,Advanced,Follower,required,1362
2025-07-18,Advanced,Follower,required,1371
2025-07-18,Advanced,Leader,allowed,1357
2025-07-18,Advanced,Leader,allowed,1363
2025-07-18,Advanced,Leader,required,1185
2025-07-18,Advanced,Leader,required,1188
2025-07-18,All-Star,Follower,allowed,480
2025-07-18,All-Star,Follower,required,527
2025-07-18,All-Star,Leader,allowed,446
2025-07-18,All-Star,Leader,required,504
2025-07-18,Champion,Follower,allowed,185
2025-07-18,Champion,Follower,required,88
2025-07-18,Champion,Leader,allowed,183
2025-07-18,Champion,Leader,required,83
2025-07-18,Intermediate,Follower,allowed,2880
2025-07-18,Intermediate,Follower,allowed,3044
2025-07-18,Intermediate,Follower,required,2242
2025-07-18,Intermediate,Follower,required,2313
2025-07-18,Intermediate,Leader,allowed,2264
2025-07-18,Intermediate,Leader,allowed,2390
2025-07-18,Intermediate,Leader,required,1782
2025-07-18,Intermediate,Leader,required,1841
2025-07-18,Newcomer,Follower,required,1379
2025-07-18,Newcomer,Follower,required,1416
2025-07-18,Novice,Follower,allowed,7811
2025-07-18,Novice,Follower,allowed,9475
2025-07-18,Novice,Follower,required,7322
2025-07-18,Novice,Follower,required,9045
2025-07-18,Novice,Leader,allowed,4773
2025-07-18,Novice,Leader,allowed,5876
2025-07-18,Novice,Leader,required,5469
2025-07-18,Novice,Leader,required,6642
2025-07-21,Advanced,Follower,allowed,1580
2025-07-21,Advanced,Follower,required,1373
2025-07-21,Advanced,Leader,allowed,1366
2025-07-21,Advanced,Leader,required,1188
2025-07-21,All-Star,Follower,allowed,482
2025-07-21,All-Star,Follower,required,527
2025-07-21,All-Star,Leader,allowed,446
2025-07-21,All-Star,Leader,required,503
2025-07-21,Champion,Follower,allowed,185
2025-07-21,Champion,Follower,required,88
2025-07-21,Champion,Leader,allowed,183
2025-07-21,Champion,Leader,required,83
2025-07-21,Intermediate,Follower,allowed,3053
2025-07-21,Intermediate,Follower,required,2321
2025-07-21,Intermediate,Leader,allowed,2390
2025-07-21,Intermediate,Leader,required,1847
2025-07-21,Newcomer,Follower,required,1416
2025-07-21,Novice,Follower,allowed,9516
2025-07-21,Novice,Follower,required,9091
2025-07-21,Novice,Leader,allowed,5918
2025-07-21,Novice,Leader,required,6682
2025-07-22,Advanced,Follower,allowed,1580
2025-07-22,Advanced,Follower,required,1373
2025-07-22,Advanced,Leader,allowed,1366
2025-07-22,Advanced,Leader,required,1188
2025-07-22,All-Star,Follower,allowed,482
2025-07-22,All-Star,Follower,required,527
2025-07-22,All-Star,Leader,allowed,447
2025-07-22,All-Star,Leader,required,504
2025-07-22,Champion,Follower,allowed,185
2025-07-22,Champion,Follower,required,88
2025-07-22,Champion,Leader,allowed,183
2025-07-22,Champion,Leader,required,83
2025-07-22,Intermediate,Follower,allowed,3053
2025-07-22,Intermediate,Follower,required,2321
2025-07-22,Intermediate,Leader,allowed,2390
2025-07-22,Intermediate,Leader,required,1847
2025-07-22,Newcomer,Follower,required,1415
2025-07-22,Novice,Follower,allowed,9515
2025-07-22,Novice,Follower,required,9091
2025-07-22,Novice,Leader,allowed,5918
2025-07-22,Novice,Leader,required,6682
2025-07-29,Advanced,Follower,allowed,1583
2025-07-29,Advanced,Follower,required,1373
2025-07-29,Advanced,Leader,allowed,1366
2025-07-29,Advanced,Leader,required,1189
2025-07-29,All-Star,Follower,allowed,482
2025-07-29,All-Star,Follower,required,527
2025-07-29,All-Star,Leader,allowed,447
2025-07-29,All-Star,Leader,required,505
