rules_version,valid_from,valid_to,tier_basis,min_role_competitors,points_depth,inherits_from,source_url,edition_source,notes,tier,min_competitors,max_competitors,prelim_rounds,finalist_points,definition_source,points_1st,points_2nd,points_3rd,points_4th,points_5th
2020,2020-01-01,2021-04-30,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2020-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2020-WSDC-Registry-Event-Rules-Combined.pdf#1,,1,5,10,1,0,inherits:2018,3,2,1,0,0
2020,2020-01-01,2021-04-30,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2020-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2020-WSDC-Registry-Event-Rules-Combined.pdf#1,,2,11,19,2,0,inherits:2018,6,4,3,2,1
2020,2020-01-01,2021-04-30,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2020-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2020-WSDC-Registry-Event-Rules-Combined.pdf#1,,3,20,39,2,1,inherits:2018,10,8,6,4,2
2020,2020-01-01,2021-04-30,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2020-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2020-WSDC-Registry-Event-Rules-Combined.pdf#1,,4,40,79,3,1,inherits:2018,15,12,10,8,6
2020,2020-01-01,2021-04-30,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2020-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2020-WSDC-Registry-Event-Rules-Combined.pdf#1,,5,80,129,3,2,inherits:2018,20,16,14,12,10
2020,2020-01-01,2021-04-30,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2020-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2020-WSDC-Registry-Event-Rules-Combined.pdf#1,,6,130,,4,2,inherits:2018,25,22,18,15,12
2021-addendum,2021-05-01,2022-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2020-May-Addendum.pdf,pdf_page:2020-May-Addendum.pdf#1,COVID addendum (May 2021); Chart 5 unchanged.,1,5,10,1,0,inherits:2018,3,2,1,0,0
2021-addendum,2021-05-01,2022-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2020-May-Addendum.pdf,pdf_page:2020-May-Addendum.pdf#1,COVID addendum (May 2021); Chart 5 unchanged.,2,11,19,2,0,inherits:2018,6,4,3,2,1
2021-addendum,2021-05-01,2022-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2020-May-Addendum.pdf,pdf_page:2020-May-Addendum.pdf#1,COVID addendum (May 2021); Chart 5 unchanged.,3,20,39,2,1,inherits:2018,10,8,6,4,2
2021-addendum,2021-05-01,2022-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2020-May-Addendum.pdf,pdf_page:2020-May-Addendum.pdf#1,COVID addendum (May 2021); Chart 5 unchanged.,4,40,79,3,1,inherits:2018,15,12,10,8,6
2021-addendum,2021-05-01,2022-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2020-May-Addendum.pdf,pdf_page:2020-May-Addendum.pdf#1,COVID addendum (May 2021); Chart 5 unchanged.,5,80,129,3,2,inherits:2018,20,16,14,12,10
2021-addendum,2021-05-01,2022-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2020-May-Addendum.pdf,pdf_page:2020-May-Addendum.pdf#1,COVID addendum (May 2021); Chart 5 unchanged.,6,130,,4,2,inherits:2018,25,22,18,15,12
2023.1D,2023-01-01,2023-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2023-Registry-Event-Rules_vFinal3b-2023.1D.pdf,pdf_page:2023-Registry-Event-Rules_vFinal3b-2023.1D.pdf#1,Merged Points + Event Rules; Chart identical to 2018 (label Chart 4/5).,1,5,10,1,0,inherits:2018,3,2,1,0,0
2023.1D,2023-01-01,2023-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2023-Registry-Event-Rules_vFinal3b-2023.1D.pdf,pdf_page:2023-Registry-Event-Rules_vFinal3b-2023.1D.pdf#1,Merged Points + Event Rules; Chart identical to 2018 (label Chart 4/5).,2,11,19,2,0,inherits:2018,6,4,3,2,1
2023.1D,2023-01-01,2023-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2023-Registry-Event-Rules_vFinal3b-2023.1D.pdf,pdf_page:2023-Registry-Event-Rules_vFinal3b-2023.1D.pdf#1,Merged Points + Event Rules; Chart identical to 2018 (label Chart 4/5).,3,20,39,2,1,inherits:2018,10,8,6,4,2
2023.1D,2023-01-01,2023-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2023-Registry-Event-Rules_vFinal3b-2023.1D.pdf,pdf_page:2023-Registry-Event-Rules_vFinal3b-2023.1D.pdf#1,Merged Points + Event Rules; Chart identical to 2018 (label Chart 4/5).,4,40,79,3,1,inherits:2018,15,12,10,8,6
2023.1D,2023-01-01,2023-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2023-Registry-Event-Rules_vFinal3b-2023.1D.pdf,pdf_page:2023-Registry-Event-Rules_vFinal3b-2023.1D.pdf#1,Merged Points + Event Rules; Chart identical to 2018 (label Chart 4/5).,5,80,129,3,2,inherits:2018,20,16,14,12,10
2023.1D,2023-01-01,2023-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2023-Registry-Event-Rules_vFinal3b-2023.1D.pdf,pdf_page:2023-Registry-Event-Rules_vFinal3b-2023.1D.pdf#1,Merged Points + Event Rules; Chart identical to 2018 (label Chart 4/5).,6,130,,4,2,inherits:2018,25,22,18,15,12
2024.2B,2024-01-01,2024-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2024-Registry-Event-Rules_v2024.2B.pdf,pdf_page:2024-Registry-Event-Rules_v2024.2B.pdf#1,,1,5,10,1,0,inherits:2018,3,2,1,0,0
2024.2B,2024-01-01,2024-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2024-Registry-Event-Rules_v2024.2B.pdf,pdf_page:2024-Registry-Event-Rules_v2024.2B.pdf#1,,2,11,19,2,0,inherits:2018,6,4,3,2,1
2024.2B,2024-01-01,2024-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2024-Registry-Event-Rules_v2024.2B.pdf,pdf_page:2024-Registry-Event-Rules_v2024.2B.pdf#1,,3,20,39,2,1,inherits:2018,10,8,6,4,2
2024.2B,2024-01-01,2024-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2024-Registry-Event-Rules_v2024.2B.pdf,pdf_page:2024-Registry-Event-Rules_v2024.2B.pdf#1,,4,40,79,3,1,inherits:2018,15,12,10,8,6
2024.2B,2024-01-01,2024-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2024-Registry-Event-Rules_v2024.2B.pdf,pdf_page:2024-Registry-Event-Rules_v2024.2B.pdf#1,,5,80,129,3,2,inherits:2018,20,16,14,12,10
2024.2B,2024-01-01,2024-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2024-Registry-Event-Rules_v2024.2B.pdf,pdf_page:2024-Registry-Event-Rules_v2024.2B.pdf#1,,6,130,,4,2,inherits:2018,25,22,18,15,12
2025.1A,2025-01-01,2025-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/wsdcrules.pdf,pdf_page:wsdcrules.pdf#1,,1,5,10,1,0,inherits:2018,3,2,1,0,0
2025.1A,2025-01-01,2025-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/wsdcrules.pdf,pdf_page:wsdcrules.pdf#1,,2,11,19,2,0,inherits:2018,6,4,3,2,1
2025.1A,2025-01-01,2025-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/wsdcrules.pdf,pdf_page:wsdcrules.pdf#1,,3,20,39,2,1,inherits:2018,10,8,6,4,2
2025.1A,2025-01-01,2025-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/wsdcrules.pdf,pdf_page:wsdcrules.pdf#1,,4,40,79,3,1,inherits:2018,15,12,10,8,6
2025.1A,2025-01-01,2025-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/wsdcrules.pdf,pdf_page:wsdcrules.pdf#1,,5,80,129,3,2,inherits:2018,20,16,14,12,10
2025.1A,2025-01-01,2025-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/wsdcrules.pdf,pdf_page:wsdcrules.pdf#1,,6,130,,4,2,inherits:2018,25,22,18,15,12
2026,2026-01-01,,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/WSDC-Registry-Event-Rules-Jan-17-2026.pdf,pdf_page:WSDC-Registry-Event-Rules-Jan-17-2026.pdf#17,Chart 5: Points Awarded per Tier (identical numbers to 2018).,1,5,10,1,0,inherits:2018,3,2,1,0,0
2026,2026-01-01,,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/WSDC-Registry-Event-Rules-Jan-17-2026.pdf,pdf_page:WSDC-Registry-Event-Rules-Jan-17-2026.pdf#17,Chart 5: Points Awarded per Tier (identical numbers to 2018).,2,11,19,2,0,inherits:2018,6,4,3,2,1
2026,2026-01-01,,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/WSDC-Registry-Event-Rules-Jan-17-2026.pdf,pdf_page:WSDC-Registry-Event-Rules-Jan-17-2026.pdf#17,Chart 5: Points Awarded per Tier (identical numbers to 2018).,3,20,39,2,1,inherits:2018,10,8,6,4,2
2026,2026-01-01,,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/WSDC-Registry-Event-Rules-Jan-17-2026.pdf,pdf_page:WSDC-Registry-Event-Rules-Jan-17-2026.pdf#17,Chart 5: Points Awarded per Tier (identical numbers to 2018).,4,40,79,3,1,inherits:2018,15,12,10,8,6
2026,2026-01-01,,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/WSDC-Registry-Event-Rules-Jan-17-2026.pdf,pdf_page:WSDC-Registry-Event-Rules-Jan-17-2026.pdf#17,Chart 5: Points Awarded per Tier (identical numbers to 2018).,5,80,129,3,2,inherits:2018,20,16,14,12,10
2026,2026-01-01,,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/WSDC-Registry-Event-Rules-Jan-17-2026.pdf,pdf_page:WSDC-Registry-Event-Rules-Jan-17-2026.pdf#17,Chart 5: Points Awarded per Tier (identical numbers to 2018).,6,130,,4,2,inherits:2018,25,22,18,15,12
