update_date,division,role,type_options,count_dancer
2025-02-11,Intermediate,Follower,required,2812
2025-02-11,Intermediate,Leader,allowed,2752
2025-02-11,Intermediate,Leader,required,2280
2025-02-11,Newcomer,Follower,required,10962
2025-02-11,Newcomer,Leader,required,6197
2025-02-11,Novice,Follower,allowed,22383
2025-02-11,Novice,Follower,required,12428
2025-02-11,Novice,Leader,allowed,14772
2025-02-11,Novice,Leader,required,9348
2025-02-19,Advanced,Follower,allowed,1721
2025-02-19,Advanced,Follower,required,1443
2025-02-19,Advanced,Leader,allowed,1517
2025-02-19,Advanced,Leader,required,1261
2025-02-19,All-Star,Follower,allowed,472
2025-02-19,All-Star,Follower,required,520
2025-02-19,All-Star,Leader,allowed,439
2025-02-19,All-Star,Leader,required,497
2025-02-19,Champion,Follower,allowed,183
2025-02-19,Champion,Follower,required,87
2025-02-19,Champion,Leader,allowed,181
2025-02-19,Champion,Leader,required,80
2025-02-19,Intermediate,Follower,allowed,3509
2025-02-19,Intermediate,Follower,required,2819
2025-02-19,Intermediate,Leader,allowed,2754
2025-02-19,Intermediate,Leader,required,2277
2025-02-19,Newcomer,Follower,required,10962
2025-02-19,Newcomer,Leader,required,6202
2025-02-19,Novice,Follower,allowed,22381
2025-02-19,Novice,Follower,required,12435
2025-02-19,Novice,Leader,allowed,14779
2025-02-19,Novice,Leader,required,9353
2025-02-27,Advanced,Follower,allowed,1725
2025-02-27,Advanced,Follower,required,1445
2025-02-27,Advanced,Leader,allowed,1517
2025-02-27,Advanced,Leader,required,1267
2025-02-27,All-Star,Follower,allowed,471
2025-02-27,All-Star,Follower,required,521
2025-02-27,All-Star,Leader,allowed,444
2025-02-27,All-Star,Leader,required,503
2025-02-27,Champion,Follower,allowed,183
2025-02-27,Champion,Follower,required,87
2025-02-27,Champion,Leader,allowed,181
2025-02-27,Champion,Leader,required,80
2025-02-27,Intermediate,Follower,allowed,3516
2025-02-27,Intermediate,Follower,required,2819
2025-02-27,Intermediate,Leader,allowed,2761
2025-02-27,Intermediate,Leader,required,2277
2025-02-27,Newcomer,Follower,required,10996
2025-02-27,Newcomer,Leader,required,6221
2025-02-27,Novice,Follower,allowed,22451
2025-02-27,Novice,Follower,required,12478
2025-02-27,Novice,Leader,allowed,14827
2025-02-27,Novice,Leader,required,9382
2025-03-14,Advanced,Follower,allowed,1725
2025-03-14,Advanced,Follower,required,1444
2025-03-14,Advanced,Leader,allowed,1518
2025-03-14,Advanced,Leader,required,1266
2025-03-14,All-Star,Follower,allowed,473
2025-03-14,All-Star,Follower,required,522
2025-03-14,All-Star,Leader,allowed,441
2025-03-14,All-Star,Leader,required,501
2025-03-14,Champion,Follower,allowed,183
2025-03-14,Champion,Follower,required,87
2025-03-14,Champion,Leader,allowed,181
2025-03-14,Champion,Leader,required,80
2025-03-14,Intermediate,Follower,allowed,3518
2025-03-14,Intermediate,Follower,required,2825
2025-03-14,Intermediate,Leader,allowed,2770
2025-03-14,Intermediate,Leader,required,2284
2025-03-14,Newcomer,Follower,required,11012
2025-03-14,Newcomer,Leader,required,6228
2025-03-14,Novice,Follower,allowed,22495
2025-03-14,Novice,Follower,required,12504
2025-03-14,Novice,Leader,allowed,14844
2025-03-14,Novice,Leader,required,9395
2025-03-20,Advanced,Follower,allowed,1735
2025-03-20,Advanced,Follower,required,1448
2025-03-20,Advanced,Leader,allowed,1522
2025-03-20,Advanced,Leader,required,1267
2025-03-20,All-Star,Follower,allowed,473
2025-03-20,All-Star,Follower,required,522
2025-03-20,All-Star,Leader,allowed,441
2025-03-20,All-Star,Leader,required,501
2025-03-20,Champion,Follower,allowed,183
2025-03-20,Champion,Follower,required,87
2025-03-20,Champion,Leader,allowed,181
2025-03-20,Champion,Leader,required,81
2025-03-20,Intermediate,Follower,allowed,3518
2025-03-20,Intermediate,Follower,required,2824
2025-03-20,Intermediate,Leader,allowed,2777
2025-03-20,Intermediate,Leader,required,2291
2025-03-20,Newcomer,Follower,required,11039
2025-03-20,Newcomer,Leader,required,6258
2025-03-20,Novice,Follower,allowed,22567
2025-03-20,Novice,Follower,required,12556
2025-03-20,Novice,Leader,allowed,14913
2025-03-20,Novice,Leader,required,9436
2025-03-27,Advanced,Follower,allowed,1740
2025-03-27,Advanced,Follower,required,1449
2025-03-27,Advanced,Leader,allowed,1525
2025-03-27,Advanced,Leader,required,1268
2025-03-27,All-Star,Follower,allowed,476
2025-03-27,All-Star,Follower,required,523
2025-03-27,All-Star,Leader,allowed,443
2025-03-27,All-Star,Leader,required,501
2025-03-27,Champion,Follower,allowed,183
2025-03-27,Champion,Follower,required,87
2025-03-27,Champion,Leader,allowed,181
2025-03-27,Champion,Leader,required,81
2025-03-27,Intermediate,Follower,allowed,3530
2025-03-27,Intermediate,Follower,required,2828
2025-03-27,Intermediate,Leader,allowed,2782
2025-03-27,Intermediate,Leader,required,2299
2025-03-27,Newcomer,Follower,required,11069
2025-03-27,Newcomer,Leader,required,6282
2025-03-27,Novice,Follower,allowed,22635
2025-03-27,Novice,Follower,required,12608
2025-03-27,Novice,Leader,allowed,14963
2025-03-27,Novice,Leader,required,9463
2025-04-03,Advanced,Follower,allowed,1740
2025-04-03,Advanced,Follower,required,1450
2025-04-03,Advanced,Leader,allowed,1524
2025-04-03,Advanced,Leader,required,1267
2025-04-03,All-Star,Follower,allowed,477
2025-04-03,All-Star,Follower,required,524
2025-04-03,All-Star,Leader,allowed,444
2025-04-03,All-Star,Leader,required,502
2025-04-03,Champion,Follower,allowed,183
2025-04-03,Champion,Follower,required,87
2025-04-03,Champion,Leader,allowed,181
2025-04-03,Champion,Leader,required,81
2025-04-03,Intermediate,Follower,allowed,3538
2025-04-03,Intermediate,Follower,required,2833
2025-04-03,Intermediate,Leader,allowed,2788
2025-04-03,Intermediate,Leader,required,2305
2025-04-03,Newcomer,Follower,required,11090
2025-04-03,Newcomer,Leader,required,6285
2025-04-03,Novice,Follower,allowed,22676
2025-04-03,Novice,Follower,required,12630
2025-04-03,Novice,Leader,allowed,14975
2025-04-03,Novice,Leader,required,9472
2025-04-10,Advanced,Follower,allowed,1741
2025-04-10,Advanced,Follower,required,1452
2025-04-10,Advanced,Leader,allowed,1525
2025-04-10,Advanced,Leader,required,1267
2025-04-10,All-Star,Follower,allowed,478
2025-04-10,All-Star,Follower,required,524
2025-04-10,All-Star,Leader,allowed,444
2025-04-10,All-Star,Leader,required,502
2025-04-10,Champion,Follower,allowed,183
2025-04-10,Champion,Follower,required,87
2025-04-10,Champion,Leader,allowed,181
2025-04-10,Champion,Leader,required,81
2025-04-10,Intermediate,Follower,allowed,3540
2025-04-10,Intermediate,Follower,required,2836
2025-04-10,Intermediate,Leader,allowed,2790
2025-04-10,Intermediate,Leader,required,2306
2025-04-10,Newcomer,Follower,required,11091
2025-04-10,Newcomer,Leader,required,6292
2025-04-10,Novice,Follower,allowed,22688
2025-04-10,Novice,Follower,required,12640
2025-04-10,Novice,Leader,allowed,14990
2025-04-10,Novice,Leader,required,9482
2025-04-18,Advanced,Follower,allowed,1741
2025-04-18,Advanced,Follower,required,1458
2025-04-18,Advanced,Leader,allowed,1533
2025-04-18,Advanced,Leader,required,1271
2025-04-18,All-Star,Follower,allowed,481
2025-04-18,All-Star,Follower,required,525
2025-04-18,All-Star,Leader,allowed,444
2025-04-18,All-Star,Leader,required,501
2025-04-18,Champion,Follower,allowed,183
2025-04-18,Champion,Follower,required,87
2025-04-18,Champion,Leader,allowed,181
2025-04-18,Champion,Leader,required,82
2025-04-18,Intermediate,Follower,allowed,3550
2025-04-18,Intermediate,Follower,required,2835
2025-04-18,Intermediate,Leader,allowed,2797
2025-04-18,Intermediate,Leader,required,2311
2025-04-18,Newcomer,Follower,required,11120
2025-04-18,Newcomer,Leader,required,6306
2025-04-18,Novice,Follower,allowed,22743
2025-04-18,Novice,Follower,required,12673
2025-04-18,Novice,Leader,allowed,15023
2025-04-18,Novice,Leader,required,9507
2025-04-20,Advanced,Follower,allowed,1741
2025-04-20,Advanced,Follower,required,1458
2025-04-20,Advanced,Leader,allowed,1533
2025-04-20,Advanced,Leader,required,1271
2025-04-20,All-Star,Follower,allowed,481
2025-04-20,All-Star,Follower,required,525
2025-04-20,All-Star,Leader,allowed,444
2025-04-20,All-Star,Leader,required,501
2025-04-20,Champion,Follower,allowed,183
2025-04-20,Champion,Follower,required,87
2025-04-20,Champion,Leader,allowed,181
2025-04-20,Champion,Leader,required,82
2025-04-20,Intermediate,Follower,allowed,3550
2025-04-20,Intermediate,Follower,required,2835
2025-04-20,Intermediate,Leader,allowed,2797
2025-04-20,Intermediate,Leader,required,2311
2025-04-20,Newcomer,Follower,required,11120
2025-04-20,Newcomer,Leader,required,6306
2025-04-20,Novice,Follower,allowed,22743
2025-04-20,Novice,Follower,required,12673
2025-04-20,Novice,Leader,allowed,15023
2025-04-20,Novice,Leader,required,9507
2025-04-23,Advanced,Follower,allowed,1744
2025-04-23,Advanced,Follower,required,1459
2025-04-23,Advanced,Leader,allowed,1536
2025-04-23,Advanced,Leader,required,1272
2025-04-23,All-Star,Follower,allowed,481
2025-04-23,All-Star,Follower,required,526
2025-04-23,All-Star,Leader,allowed,445
2025-04-23,All-Star,Leader,required,501
2025-04-23,Champion,Follower,allowed,184
2025-04-23,Champion,Follower,required,87
2025-04-23,Champion,Leader,allowed,182
2025-04-23,Champion,Leader,required,82
2025-04-23,Intermediate,Follower,allowed,3555
2025-04-23,Intermediate,Follower,required,2845
2025-04-23,Intermediate,Leader,allowed,2806
2025-04-23,Intermediate,Leader,required,2311
2025-04-23,Newcomer,Follower,required,11143
2025-04-23,Newcomer,Leader,required,6326
2025-04-23,Novice,Follower,allowed,22810
2025-04-23,Novice,Follower,required,12714
2025-04-23,Novice,Leader,allowed,15059
2025-04-23,Novice,Leader,required,9536
2025-04-30,Advanced,Follower,allowed,1748
2025-04-30,Advanced,Follower,required,1462
2025-04-30,Advanced,Leader,allowed,1539
2025-04-30,Advanced,Leader,required,1276
2025-04-30,All-Star,Follower,allowed,481
2025-04-30,All-Star,Follower,required,526
2025-04-30,All-Star,Leader,allowed,446
2025-04-30,All-Star,Leader,required,504
2025-04-30,Champion,Follower,allowed,184
2025-04-30,Champion,Follower,required,87
2025-04-30,Champion,Leader,allowed,182
2025-04-30,Champion,Leader,required,82
2025-04-30,Intermediate,Follower,allowed,3565
2025-04-30,Intermediate,Follower,required,2849
2025-04-30,Intermediate,Leader,allowed,2813
2025-04-30,Intermediate,Leader,required,2319
2025-04-30,Newcomer,Follower,required,11170
2025-04-30,Newcomer,Leader,required,6338
2025-04-30,Novice,Follower,allowed,22876
2025-04-30,Novice,Follower,required,12760
2025-04-30,Novice,Leader,allowed,15098
2025-04-30,Novice,Leader,required,9559
2025-05-08,Advanced,Follower,allowed,1550
2025-05-08,Advanced,Follower,required,1355
2025-05-08,Advanced,Leader,allowed,1349
2025-05-08,Advanced,Leader,required,1179
2025-05-08,All-Star,Follower,allowed,473
2025-05-08,All-Star,Follower,required,521
2025-05-08,All-Star,Leader,allowed,438
2025-05-08,All-Star,Leader,required,494
2025-05-08,Champion,Follower,allowed,183
2025-05-08,Champion,Follower,required,87
2025-05-08,Champion,Leader,allowed,182
2025-05-08,Champion,Leader,required,83
2025-05-08,Intermediate,Follower,allowed,3052
2025-05-08,Intermediate,Follower,required,2296
2025-05-08,Intermediate,Leader,allowed,2405
2025-05-08,Intermediate,Leader,required,1828
2025-05-08,Newcomer,Follower,allowed,3975
2025-05-08,Newcomer,Follower,required,5382
2025-05-08,Newcomer,Leader,allowed,2847
2025-05-08,Newcomer,Leader,required,2847
2025-05-08,Novice,Follower,allowed,10008
2025-05-08,Novice,Follower,required,9395
2025-05-08,Novice,Leader,allowed,6334
2025-05-08,Novice,Leader,required,6942
2025-05-16,Advanced,Follower,allowed,1656
2025-05-16,Advanced,Follower,required,1371
2025-05-16,Advanced,Leader,allowed,1444
2025-05-16,Advanced,Leader,required,1194
2025-05-16,All-Star,Follower,allowed,475
2025-05-16,All-Star,Follower,required,523
2025-05-16,All-Star,Leader,allowed,441
2025-05-16,All-Star,Leader,required,497
2025-05-16,Champion,Follower,allowed,183
2025-05-16,Champion,Follower,required,87
2025-05-16,Champion,Leader,allowed,182
2025-05-16,Champion,Leader,required,83
2025-05-16,Intermediate,Follower,allowed,3550
2025-05-16,Intermediate,Follower,required,2333
2025-05-16,Intermediate,Leader,allowed,2860
2025-05-16,Intermediate,Leader,required,1846
2025-05-16,Newcomer,Follower,allowed,8388
2025-05-16,Newcomer,Follower,required,9797
2025-05-16,Newcomer,Leader,allowed,6356
2025-05-16,Newcomer,Leader,required,6356
2025-05-16,Novice,Follower,allowed,12814
2025-05-16,Novice,Follower,required,11084
2025-05-16,Novice,Leader,allowed,8700
2025-05-16,Novice,Leader,required,8310
2025-05-17,Advanced,Follower,allowed,1656
2025-05-17,Advanced,Follower,required,1371
2025-05-17,Advanced,Leader,allowed,1444
2025-05-17,Advanced,Leader,required,1194
2025-05-17,All-Star,Follower,allowed,475
2025-05-17,All-Star,Follower,required,523
2025-05-17,All-Star,Leader,allowed,441
2025-05-17,All-Star,Leader,required,497
2025-05-17,Champion,Follower,allowed,183
2025-05-17,Champion,Follower,required,87
2025-05-17,Champion,Leader,allowed,182
2025-05-17,Champion,Leader,required,83
2025-05-17,Intermediate,Follower,allowed,3550
2025-05-17,Intermediate,Follower,required,2333
2025-05-17,Intermediate,Leader,allowed,2860
2025-05-17,Intermediate,Leader,required,1846
2025-05-17,Newcomer,Follower,allowed,8388
2025-05-17,Newcomer,Follower,required,9797
2025-05-17,Newcomer,Leader,allowed,6356
2025-05-17,Newcomer,Leader,required,6356
2025-05-17,Novice,Follower,allowed,12814
2025-05-17,Novice,Follower,required,11084
2025-05-17,Novice,Leader,allowed,8700
2025-05-17,Novice,Leader,required,8310
2025-05-24,Advanced,Follower,allowed,1655
2025-05-24,Advanced,Follower,required,1373
2025-05-24,Advanced,Leader,allowed,1443
2025-05-24,Advanced,Leader,required,1194
2025-05-24,All-Star,Follower,allowed,477
2025-05-24,All-Star,Follower,required,523
2025-05-24,All-Star,Leader,allowed,443
2025-05-24,All-Star,Leader,required,498
2025-05-24,Champion,Follower,allowed,183
2025-05-24,Champion,Follower,required,87
2025-05-24,Champion,Leader,allowed,182
2025-05-24,Champion,Leader,required,83
2025-05-24,Intermediate,Follower,allowed,3555
2025-05-24,Intermediate,Follower,required,2339
2025-05-24,Intermediate,Leader,allowed,2867
2025-05-24,Intermediate,Leader,required,1853
2025-05-24,Newcomer,Follower,allowed,8415
2025-05-24,Newcomer,Follower,required,9825
2025-05-24,Newcomer,Leader,allowed,6374
2025-05-24,Newcomer,Leader,required,6374
2025-05-24,Novice,Follower,allowed,12853
2025-05-24,Novice,Follower,required,11119
2025-05-24,Novice,Leader,allowed,8722
2025-05-24,Novice,Leader,required,8332
2025-05-30,Advanced,Follower,allowed,1656
2025-05-30,Advanced,Follower,required,1373
2025-05-30,Advanced,Leader,allowed,1443
2025-05-30,Advanced,Leader,required,1193
2025-05-30,All-Star,Follower,allowed,477
2025-05-30,All-Star,Follower,required,524
2025-05-30,All-Star,Leader,allowed,443
2025-05-30,All-Star,Leader,required,500
2025-05-30,Champion,Follower,allowed,183
2025-05-30,Champion,Follower,required,87
2025-05-30,Champion,Leader,allowed,183
2025-05-30,Champion,Leader,required,83
2025-05-30,Intermediate,Follower,allowed,3559
2025-05-30,Intermediate,Follower,required,2345
2025-05-30,Intermediate,Leader,allowed,2868
2025-05-30,Intermediate,Leader,required,1855
2025-05-30,Newcomer,Follower,allowed,8432
2025-05-30,Newcomer,Follower,required,9844
2025-05-30,Newcomer,Leader,allowed,6381
2025-05-30,Newcomer,Leader,required,6381
2025-05-30,Novice,Follower,allowed,12879
2025-05-30,Novice,Follower,required,11143
2025-05-30,Novice,Leader,allowed,8732
2025-05-30,Novice,Leader,required,8342
2025-06-04,Advanced,Follower,allowed,1655
2025-06-04,Advanced,Follower,required,1374
2025-06-04,Advanced,Leader,allowed,1446
2025-06-04,Advanced,Leader,required,1194
2025-06-04,All-Star,Follower,allowed,480
2025-06-04,All-Star,Follower,required,524
2025-06-04,All-Star,Leader,allowed,445
2025-06-04,All-Star,Leader,required,502
2025-06-04,Champion,Follower,allowed,183
2025-06-04,Champion,Follower,required,87
2025-06-04,Champion,Leader,allowed,183
2025-06-04,Champion,Leader,required,83
2025-06-04,Intermediate,Follower,allowed,3566
2025-06-04,Intermediate,Follower,required,2351
2025-06-04,Intermediate,Leader,allowed,2877
2025-06-04,Intermediate,Leader,required,1854
2025-06-04,Newcomer,Follower,allowed,8452
2025-06-04,Newcomer,Follower,required,9866
2025-06-04,Newcomer,Leader,allowed,6401
2025-06-04,Newcomer,Leader,required,6401
2025-06-04,Novice,Follower,allowed,12917
2025-06-04,Novice,Follower,required,11180
2025-06-04,Novice,Leader,allowed,8743
2025-06-04,Novice,Leader,required,8363
2025-06-12,Advanced,Follower,allowed,1662
2025-06-12,Advanced,Follower,required,1378
2025-06-12,Advanced,Leader,allowed,1448
2025-06-12,Advanced,Leader,required,1193
2025-06-12,All-Star,Follower,allowed,481
2025-06-12,All-Star,Follower,required,524
2025-06-12,All-Star,Leader,allowed,446
2025-06-12,All-Star,Leader,required,503
2025-06-12,Champion,Follower,allowed,183
2025-06-12,Champion,Follower,required,87
2025-06-12,Champion,Leader,allowed,183
2025-06-12,Champion,Leader,required,83
2025-06-12,Intermediate,Follower,allowed,3561
2025-06-12,Intermediate,Follower,required,2353
2025-06-12,Intermediate,Leader,allowed,2880
2025-06-12,Intermediate,Leader,required,1857
2025-06-12,Newcomer,Follower,allowed,8469
2025-06-12,Newcomer,Follower,required,9882
2025-06-12,Newcomer,Leader,allowed,6409
2025-06-12,Newcomer,Leader,required,6409
2025-06-12,Novice,Follower,allowed,12944
2025-06-12,Novice,Follower,required,11201
2025-06-12,Novice,Leader,allowed,8753
2025-06-12,Novice,Leader,required,8375
2025-06-20,Advanced,Follower,allowed,1662
2025-06-20,Advanced,Follower,required,1379
2025-06-20,Advanced,Leader,allowed,1448
2025-06-20,Advanced,Leader,required,1194
2025-06-20,All-Star,Follower,allowed,481
2025-06-20,All-Star,Follower,required,524
2025-06-20,All-Star,Leader,allowed,446
2025-06-20,All-Star,Leader,required,504
2025-06-20,Champion,Follower,allowed,183
2025-06-20,Champion,Follower,required,87
2025-06-20,Champion,Leader,allowed,183
2025-06-20,Champion,Leader,required,83
2025-06-20,Intermediate,Follower,allowed,3563
2025-06-20,Intermediate,Follower,required,2357
2025-06-20,Intermediate,Leader,allowed,2884
2025-06-20,Intermediate,Leader,required,1857
2025-06-20,Newcomer,Follower,allowed,8474
2025-06-20,Newcomer,Follower,required,9888
2025-06-20,Newcomer,Leader,allowed,6420
2025-06-20,Newcomer,Leader,required,6420
2025-06-20,Novice,Follower,allowed,12959
2025-06-20,Novice,Follower,required,11211
2025-06-20,Novice,Leader,allowed,8761
2025-06-20,Novice,Leader,required,8384
2025-06-27,Advanced,Follower,allowed,1664
2025-06-27,Advanced,Follower,required,1381
2025-06-27,Advanced,Leader,allowed,1449
2025-06-27,Advanced,Leader,required,1193
2025-06-27,All-Star,Follower,allowed,481
2025-06-27,All-Star,Follower,required,525
2025-06-27,All-Star,Leader,allowed,446
2025-06-27,All-Star,Leader,required,506
2025-06-27,Champion,Follower,allowed,183
2025-06-27,Champion,Follower,required,87
2025-06-27,Champion,Leader,allowed,183
2025-06-27,Champion,Leader,required,83
2025-06-27,Intermediate,Follower,allowed,3571
2025-06-27,Intermediate,Follower,required,2358
2025-06-27,Intermediate,Leader,allowed,2890
2025-06-27,Intermediate,Leader,required,1861
2025-06-27,Newcomer,Follower,allowed,8476
2025-06-27,Newcomer,Follower,required,9890
2025-06-27,Newcomer,Leader,allowed,6429
2025-06-27,Newcomer,Leader,required,6429
2025-06-27,Novice,Follower,allowed,12961
2025-06-27,Novice,Follower,required,11216
2025-06-27,Novice,Leader,allowed,8771
2025-06-27,Novice,Leader,required,8396
2025-07-05,Advanced,Follower,allowed,1668
2025-07-05,Advanced,Follower,required,1387
2025-07-05,Advanced,Leader,allowed,1453
2025-07-05,Advanced,Leader,required,1197
2025-07-05,All-Star,Follower,allowed,484
2025-07-05,All-Star,Follower,required,526
2025-07-05,All-Star,Leader,allowed,446
2025-07-05,All-Star,Leader,required,506
2025-07-05,Champion,Follower,allowed,183
2025-07-05,Champion,Follower,required,87
2025-07-05,Champion,Leader,allowed,183
2025-07-05,Champion,Leader,required,83
2025-07-05,Intermediate,Follower,allowed,3579
2025-07-05,Intermediate,Follower,required,2361
2025-07-05,Intermediate,Leader,allowed,2899
2025-07-05,Intermediate,Leader,required,1866
2025-07-05,Newcomer,Follower,allowed,8500
2025-07-05,Newcomer,Follower,required,9915
2025-07-05,Newcomer,Leader,allowed,6455
2025-07-05,Newcomer,Leader,required,6455
2025-07-05,Novice,Follower,allowed,13005
2025-07-05,Novice,Follower,required,11256
2025-07-05,Novice,Leader,allowed,8799
2025-07-05,Novice,Leader,required,8424
2025-07-07,Advanced,Follower,allowed,1669
2025-07-07,Advanced,Follower,required,1386
2025-07-07,Advanced,Leader,allowed,1455
2025-07-07,Advanced,Leader,required,1197
2025-07-07,All-Star,Follower,allowed,484
2025-07-07,All-Star,Follower,required,527
2025-07-07,All-Star,Leader,allowed,446
2025-07-07,All-Star,Leader,required,506
2025-07-07,Champion,Follower,allowed,183
2025-07-07,Champion,Follower,required,87
2025-07-07,Champion,Leader,allowed,183
2025-07-07,Champion,Leader,required,83
